BookId, Title, Author, Rating
21966725, The Sceptical Patriot: Exploring the Truths Behind the Zero and Other Indian Glories, Vadukut Sidin, 4
7749528, War and Peace in Modern India: A Strategic History of the Nehru Years, Raghavan Srinath, 4
18334919, Patel: A Life, Gandhi Rajmohan, 5
25655879, Perunthalaivar Kamarajar, s.k.murugan, 4
197577, Liberty or Death: India's Journey to Independence and Division, French Patrick, 4
10218740, India: A Portrait, French Patrick, 3
20804709, ????? ??????? ?????? (????? #2), R.Muthukumar, 4
20320831, ????? ??????? ?????? (????? #1), R.Muthukumar, 4
16177240, INDIA’S TRYST WITH DESTINY - DEBUNKING MYTHS THAT UNDERMINE PROGRESS AND ADDRESSING NEW CHALLENGES, Panagariya Jagdish Bhagwati. Arvind, 5
296201, India Unbound: The Social and Economic Revolution from Independence to the Global Information Age, Das Gurcharan, 5
19311582, Revolution from Above, Gupta Dipankar, 2
9571715, Makers of Modern India, Guha Ramachandra, 4
18310148, Gandhi Before India, Guha Ramachandra, 5
356824, India After Gandhi: The History of the World's Largest Democracy, Guha Ramachandra, 5
16151183, Patriots and Partisans, Guha Ramachandra, 3
15750844, Pax Indica: India and the World of the 21st Century, Tharoor Shashi, 5
16048024, Accidental India: A History of The Nation's Passage Through Crisis and Change, Aiyar Shankkar, 5
49234, The Third Chimpanzee: The Evolution & Future of the Human Animal, Diamond Jared, 5
