BookId,Title,Author,Rating
16160797,The Cuckoo's Calling (Cormoran Strike  #1),Galbraith Robert,3
17983218,Dhandha: How Gujaratis Do Business,Bondre Shobha,2
13497,A Feast for Crows (A Song of Ice and Fire  #4),Martin George R.R.,2
62291,A Storm of Swords (A Song of Ice and Fire  #3),Martin George R.R.,5
10572,A Clash of Kings (A Song of Ice and Fire  #2),Martin George R.R.,4
13496,A Game of Thrones (A Song of Ice and Fire  #1),Martin George R.R.,4
92367,Whiteout,Follett Ken,3
1618,The Curious Incident of the Dog in the Night-Time,Haddon Mark,4
68591,Brida,Coelho Paulo,1
78987,The Prodigal Daughter (Kane & Abel  #2),Archer Jeffrey,5
564621,Deceptions,Michael Judith,3
1934,Little Women (Little Women  #1),Alcott Louisa May,4
12873,Rebecca,Maurier Daphne du,4
128029,A Thousand Splendid Suns,Hosseini Khaled,5
77203,The Kite Runner,Hosseini Khaled,5
981115,Death at My Doorstep,Singh Khushwant,2
3858,Holy Cow: An Indian Adventure,Macdonald Sarah,1
1255781,Have a Little Faith: a True Story,Albom Mitch,3
6900,Tuesdays with Morrie,Albom Mitch,5
3431,The Five People You Meet in Heaven,Albom Mitch,4
16235,Sister of My Heart (Anju and Sudha  #1),Divakaruni Chitra Banerjee,4
2657,To Kill a Mockingbird,Lee Harper,5
16115612,And the Mountains Echoed,Hosseini Khaled,4
5941033,Let the Great World Spin,McCann Colum,4
9777,The God of Small Things,Roy Arundhati,2
