BookId,Title,Author,Rating
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Sharma Robin S.,2
25344440,The Tell-Tale Brain,Ramachandran V. S.,5
23692271,Sapiens: A Brief History of Humankind,Harari Yuval Noah,2
8058236,Infinite City: A San Francisco Atlas,Solnit Rebecca,5
768496,The Golden Gate,Seth Vikram,4
21375203,Flood of Fire (Ibis Trilogy #3),Ghosh Amitav,4
80834,Pyongyang: A Journey in North Korea,Delisle Guy,2
1618,The Curious Incident of the Dog in the Night-Time,Haddon Mark,4
21150574,First Muslim : Story of Muhammad: The Story of Muhammad,Hazleton Lesley,4
8395615,Slaughterhouse 5,Vonnegut Kurt,4
18774002,The Tale of the Dueling Neurosurgeons: The History of the Human Brain as Revealed by True Stories of Trauma  Madness  and Recovery,Kean Sam,4
20696006,Being Mortal: Medicine and What Matters in the End,Gawande Atul,4
13037817,Chroniques de Jérusalem,Delisle Guy,4
210946,Shenzhen: A Travelogue from China,Delisle Guy,3
6047138,Curfewed Night,Peer Basharat,4
5596923,Burma Chronicles,Delisle Guy,4
12618,On Anarchism,Chomsky Noam,4
6493321,Logicomix: An epic search for truth,Doxiadis Apostolos,5
18781341,The Scatter Here Is Too Great,Tanweer Bilal,4
85301,Unaccustomed Earth,Lahiri Jhumpa,3
961520,Yuganta: The End of an Epoch,Karve Irawati,5
823879,Safe Area Gorazde: The War in Eastern Bosnia 1992-95,Sacco Joe,5
18008001,An Uncertain Glory: India and Its Contradictions,Drèze Jean,4
15821409,Another Man's Wife and Other Stories,Bajaj Manjul,4
13330771,Hallucinations,Sacks Oliver,3
15925030,The Book of Destruction,Anand,3
1117634,Small Is Beautiful: Economics as if People Mattered,Schumacher Ernst F.,3
14760312,Cobalt Blue,Kundalkar Sachin,4
4364,Maximum City: Bombay Lost and Found,Mehta Suketu,4
307448,The Fixer: A Story from Sarajevo,Sacco Joe,4
4837,The Jaguar Smile: A Nicaraguan Journey,Rushdie Salman,3
769712,Palestine,Sacco Joe,5
17262100,The Lowland,Lahiri Jhumpa,3
2727878,Finding Moonshine: A Mathematician's Journey Through Symmetry,Sautoy Marcus du,4
7235399,Change,Yan Mo,4
14376,Einstein's Dreams,Lightman Alan,4
17370960,Stringer,Sundaram Anjan,4
17118716,Heaven on Earth: A Journey Through Shari'a Law,Kadri Sadakat,5
17621927,How to Get Filthy Rich in Rising Asia,Hamid Mohsin,3
13601144,Em and The Big Hoom,Pinto Jerry,4
16176957,Chinaman,Karunatilaka Shehan,4
2649887,The Bad Girl,Llosa Mario Vargas,4
7962816,The Naive and the Sentimental Novelist,Pamuk Orhan,3
7628608,Serious Men,Joseph Manu,4
6943456,Inside Goa,Malgonkar Manohar,3
13558606,Beautiful Country Stories from another India,Hameed Syeda,4
16027978,Still Counting the Dead,Harrison Frances,4
15849749,Goat Days,Benyamin,4
13707645,The Illicit Happiness of Other People,Joseph Manu,3
6870173,The Middleman,Sankar,4
1330324,Sea of Poppies (Ibis Trilogy #1),Ghosh Amitav,4
9516,Persepolis: The Story of a Childhood (Persepolis  #1-2),Satrapi Marjane,4
13549697,Portfolios Of The Poor,Collins Daryl,4
45234,The Gun Seller,Laurie Hugh,3
12384322,Narcopolis,Thayil Jeet,5
861409,Walled City,David Esther,4
172863,Sleeping on a Wire: Conversations with Palestinians in Israel,Grossman David,4
61130,The Old Man and the Sea,Hemingway Ernest,5
14062004,Thinking  Fast and Slow,Kahneman Daniel,4
976,Deception Point,Brown Dan,3
11125,Digital Fortress,Brown Dan,2
32499,The Pelican Brief,Grisham John,4
17690,The Trial,Kafka Franz,4
8574712,The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,Ramachandran V.S.,4
13599743,River of Smoke,Ghosh Amitav,4
17716,Waiting for Godot,Beckett Samuel,4
9855266,Beyond the Invisible Hand: Groundwork for a New Economics,Basu Kaushik,4
10515,Five Moral Pieces,Eco Umberto,4
8709540,Man with a Blue Scarf: On Sitting for a Portrait by Lucian Freud,Gayford Martin,3
109335,Hullabaloo in the Guava Orchard,Desai Kiran,3
24,In a Sunburned Country,Bryson Bill,4
4657432,In Other Rooms  Other Wonders,Mueenuddin Daniyal,3
131304,Big Bang: The Origin of the Universe,Singh Simon,4
7844185,Wedding Album,Karnad Girish,4
1330353,The Imam And The Indian  Prose Pieces,Ghosh Amitav,3
11690,Istanbul: Memories and the City,Pamuk Orhan,4
911216,The Cabuliwallah And Other Stories,Tagore Rabindranath,4
4645,The Snows of Kilimanjaro and Other Stories,Hemingway Ernest,4
54721984,Animal Farm / 1984,Orwell George,2
136116,The Scarlet Pimpernel,Orczy Emmuska,4
113126,The Vendor of Sweets,Narayan R.K.,4
55676,India: A Million Mutinies Now,Naipaul V.S.,5
11475219,Broken Republic: Three Essays,Roy Arundhati,2
10746542,The Sense of an Ending,Barnes Julian,4
5848,The Middle Passage,Naipaul V.S.,4
146163,Tintin and the Secret of Literature,McCarthy Tom,3
15686,The Outsider,Camus Albert,4
11693,The White Castle,Pamuk Orhan,3
5860,The Suffrage of Elvira,Naipaul V.S.,4
5847,India: A Wounded Civilization,Naipaul V.S.,4
1948750,A Writer's People: Ways Of Looking And Feeling,Naipaul V.S.,3
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Singh Simon,4
5544,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Feynman Richard,4
55707,A Turn In The South,Naipaul V.S.,3
52036,Siddhartha,Hesse Hermann,2
296203,India Unbound,Das Gurcharan,4
54140,The Loss of El Dorado: A Colonial History,Naipaul V.S.,3
57163,A Flag on the Island,Naipaul V.S.,4
7785917,Luka and the Fire of Life,Rushdie Salman,2
6610623,The Idea Of Justice,Sen Amartya,5
1317696,The Enchantress Of Florence,Rushdie Salman,3
1688107,Mr. Stone and the Knights Companion,Naipaul V.S.,4
1768603,The White Tiger,Adiga Aravind,2
6326635,A Biography Of Rahul Dravid: The Nice Guy Who Finished First,Devendra Prabhudesai,5
4830,Shalimar the Clown,Rushdie Salman,3
