BookId,Title,Author,Rating
13324841,Son (The Giver Quartet  #4),Lowry Lois,4
12930,Messenger (The Giver  #3),Lowry Lois,4
12936,Gathering Blue (The Giver  #2),Lowry Lois,4
16143347,We Were Liars,Lockhart E.,4
22874559,Half Girlfriend,Bhagat Chetan,3
3473,A Walk to Remember,Sparks Nicholas,5
1618,The Curious Incident of the Dog in the Night-Time,Haddon Mark,4
22628,The Perks of Being a Wallflower,Chbosky Stephen,5
11870085,The Fault in Our Stars,Green John,5
16115612,And the Mountains Echoed,Hosseini Khaled,5
13519795,LOSER: Life Of a Software EngineeR,Ambalia Dipen,3
7260188,Mockingjay (The Hunger Games  #3),Collins Suzanne,4
6148028,Catching Fire (The Hunger Games  #2),Collins Suzanne,5
2767052,The Hunger Games (The Hunger Games  #1),Collins Suzanne,5
18080597,Like It Happened Yesterday,Singh Ravinder,3
446875,Of Mice and Men,Steinbeck John,5
70750,The Alchemist,Coelho Paulo,4
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics  #1),Levitt Steven D.,3
106648,Memories of Midnight,Sheldon Sidney,4
128029,A Thousand Splendid Suns,Hosseini Khaled,5
1768603,The White Tiger,Adiga Aravind,4
370493,The Giving Tree,Silverstein Shel,4
3636,The Giver (The Giver  #1),Lowry Lois,4
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Adams Douglas,3
12820793,The Oath of the Vayuputras (Shiva Trilogy  #3),Tripathi Amish,4
11827808,The Secret of the Nagas (Shiva Trilogy #2),Tripathi Amish,5
7913305,The Immortals of Meluha (Shiva Trilogy  #1),Tripathi Amish,4
77203,The Kite Runner,Hosseini Khaled,5
1611988,A Prisoner of Birth,Archer Jeffrey,5
78987,The Prodigal Daughter (Kane & Abel  #2),Archer Jeffrey,4
78983,Kane and Abel (Kane and Abel  #1),Archer Jeffrey,5
105578,One Night at the Call Center,Bhagat Chetan,3
1.2615E+11,Revolution 2020: Love  Corruption Ambition,Bhagat Chetan,4
33205203,The 3 Mistakes of My Life,Bhagat Chetan,4
69693612,2 States: The Story of My Marriage,Bhagat Chetan,5
105576,Five Point Someone: What Not to Do at IIT,Bhagat Chetan,5
211099,Losing My Virginity: How I've Survived  Had Fun  and Made a Fortune Doing Business My Way,Branson Richard,4
976,Deception Point,Brown Dan,3
960,Angels & Demons (Robert Langdon  #1),Brown Dan,5
968,The Da Vinci Code (Robert Langdon  #2),Brown Dan,4
113934,The Goal: A Process of Ongoing Improvement,Goldratt Eliyahu M.,5
4894,Who Moved My Cheese?,Johnson Spencer,5
69571,Rich Dad  Poor Dad,Kiyosaki Robert T.,4
60748,"A Child Called ""It"" (Dave Pelzer #1)",Pelzer Dave,3
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),Rowling J.K.,4
136251,Harry Potter and the Deathly Hallows (Harry Potter  #7),Rowling J.K.,4
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),Rowling J.K.,4
6,Harry Potter and the Goblet of Fire (Harry Potter  #4),Rowling J.K.,4
15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),Rowling J.K.,4
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),Rowling J.K.,4
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),Rowling J.K.,4
16282937,Love Stories That Touched My Heart,Singh Ravinder,4
13041934,Can Love Happen Twice?,Singh Ravinder,3
7105461,I Too Had A Love Story..,Singh Ravinder,5
