BookId,Title,Author,Rating
76826,Exile and the Kingdom,Camus Albert,4
485894,The Metamorphosis,Kafka Franz,3
13722091,The Winner Effect: The Neuroscience of Success and Failure,Robertson Ian H.,4
115030,Chokher Bali,Tagore Rabindranath,3
23425,Status Anxiety,Botton Alain de,4
55030,Cosmos,Sagan Carl,4
10225702,???????? ???? [Meendum Jeeno],[Sujatha] ??????,4
6648865,The Art of Choosing,Iyengar Sheena,3
31555,Phantoms in the Brain: Probing the Mysteries of the Human Mind,Ramachandran V.S.,5
770674,The Adventures of Sally,Wodehouse P.G.,4
12865589,God Save the Dork: The Incredible International Adventures of Robin ‘Einstein’ Varghese (Dork Trilogy  #2),Vadukut Sidin,2
7725244,Dork: The Incredible Adventures of Robin 'Einstein' Varghese (Dork Trilogy  #1),Vadukut Sidin,2
7467072,???????????? ???????? [Srirangathu Devadhaigal],[Sujatha] ??????,4
16115612,And the Mountains Echoed,Hosseini Khaled,5
4929,Kafka on the Shore,Murakami Haruki,3
120322302,The Mahabharata Book 2: Sabha Parva,Ganguli K.M.,5
10664113,A Dance with Dragons (A Song of Ice and Fire  #5),Martin George R.R.,4
13497,A Feast for Crows (A Song of Ice and Fire  #4),Martin George R.R.,2
62291,A Storm of Swords (A Song of Ice and Fire  #3),Martin George R.R.,3
10572,A Clash of Kings (A Song of Ice and Fire  #2),Martin George R.R.,2
13496,A Game of Thrones (A Song of Ice and Fire  #1),Martin George R.R.,3
10098912,Chanakya's Chant,Sanghi Ashwin,3
17888952,The First Phone Call from Heaven,Albom Mitch,3
219396622,A Game of Thrones #2 Mike S Miller Variant Edition Cover,Martin George R.R.,2
220392511,Game Of Thrones #1,Abraham Daniel,3
208683533,Game of Thrones #3,Abraham Daniel,3
10357575184,1Q84 (1Q84  #1-3),Murakami Haruki,4
3108476,The Stuff of Thought: Language as a Window into Human Nature,Pinker Steven,5
374233,If on a Winter's Night a Traveler,Calvino Italo,5
1966112,A Bend in the Ganges,Malgonkar Manohar,4
16054811,Manuscript Found in Accra,Coelho Paulo,3
4808763,The Last Question,Asimov Isaac,5
5544,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Feynman Richard,4
16694,The Two Towers (The Lord of the Rings  #2),Tolkien J.R.R.,4
481774,The Fellowship of the Ring (The Lord of the Rings  #1),Tolkien J.R.R.,5
10471082,?????????? ????? [Kolaiyuthir kaalam],[Sujatha] ??????,5
906484,The Country of the Blind and Other Science-Fiction Stories,Wells H.G.,4
138134,The Complete Poems,Keats John,4
873928,Why Men Don't Listen and Women Can't Read Maps,Pease Allan,3
59268,The Bartimaeus Trilogy Boxed Set (Bartimaeus  #1-3),Stroud Jonathan,4
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Carroll Lewis,5
17245,Dracula,Stoker Bram,4
13624688,The Time Keeper,Albom Mitch,3
8686068,The Devotion of Suspect X,Higashino Keigo,4
13573214,Aleph,Coelho Paulo,4
228665,The Eye of the World (Wheel of Time  #1),Jordan Robert,4
16299,And Then There Were None,Christie Agatha,4
4214,Life of Pi,Martel Yann,5
168520,The Upanishads,Russell Peter,4
239239,The Prestige,Priest Christopher,4
7913305,The Immortals of Meluha (Shiva Trilogy  #1),Tripathi Amish,2
4934,The Brothers Karamazov,Dostoyevsky Fyodor,4
9416,Confessions of a Shopaholic (Shopaholic  #1),Kinsella Sophie,1
5139,The Devil Wears Prada (The Devil Wears Prada  #1),Weisberger Lauren,2
227443,Bridget Jones's Diary (Bridget Jones  #1),Fielding Helen,3
350,Stranger in a Strange Land,Heinlein Robert A.,2
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Adams Douglas,2
14935,Sense and Sensibility,Austen Jane,4
15931,The Notebook (The Notebook  #1),Sparks Nicholas,2
14050,The Time Traveler's Wife,Niffenegger Audrey,3
1885,Pride and Prejudice,Austen Jane,3
41865,Twilight (Twilight  #1),Meyer Stephenie,1
34,The Fellowship of the Ring (The Lord of the Rings  #1),Tolkien J.R.R.,5
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),Rowling J.K.,5
7869,The Bourne Identity (Jason Bourne  #1),Ludlum Robert,4
7677,Jurassic Park (Jurassic Park  #1),Crichton Michael,4
77203,The Kite Runner,Hosseini Khaled,3
968,The Da Vinci Code (Robert Langdon  #2),Brown Dan,4
480479,Under the Tuscan Sun,Mayes Frances,4
19501,Eat  Pray Love,Gilbert Elizabeth,2
930,Memoirs of a Geisha,Golden Arthur,4
1934,Little Women (Little Women  #1),Alcott Louisa May,4
2956,The Adventures of Huckleberry Finn (Tom Sawyer & Huckleberry Finn  #2),Twain Mark,5
18135,Romeo and Juliet,Shakespeare William,3
890,Of Mice and Men,Steinbeck John,4
865,The Alchemist,Coelho Paulo,5
7613,Animal Farm,Orwell George,4
4671,The Great Gatsby,Fitzgerald F. Scott,3
