BookId,Title,Author,Rating
455373,Sphere,Crichton Michael,4
83763,Prey,Crichton Michael,4
204276,Split Second (Sean King & Michelle Maxwell  #1),Baldacci David,3
720987,Aunts Aren't Gentlemen (Jeeves  #15),Wodehouse P.G.,4
118252,Mahabharata,Vyasa Krishna-Dwaipayana,4
22034,The Godfather,Puzo Mario,5
991197,The Complete Persepolis (Persepolis  #1-4),Satrapi Marjane,4
69693612,2 States: The Story of My Marriage,Bhagat Chetan,3
105576,Five Point Someone: What Not to Do at IIT,Bhagat Chetan,3
105578,One Night at the Call Center,Bhagat Chetan,3
1768603,The White Tiger,Adiga Aravind,3
4214,Life of Pi,Martel Yann,4
43326,Tell Me Your Dreams,Sheldon Sidney,3
7913305,The Immortals of Meluha (Shiva Trilogy  #1),Tripathi Amish,3
142442,Galahad at Blandings (Blandings Castle  #10),Wodehouse P.G.,4
40102,Blink: The Power of Thinking Without Thinking,Gladwell Malcolm,4
953199,A Pelican at Blandings (Blandings Castle  #11),Wodehouse P.G.,5
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),Rowling J.K.,4
15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),Rowling J.K.,4
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),Rowling J.K.,4
6,Harry Potter and the Goblet of Fire (Harry Potter  #4),Rowling J.K.,4
136251,Harry Potter and the Deathly Hallows (Harry Potter  #7),Rowling J.K.,4
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),Rowling J.K.,4
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),Rowling J.K.,4
11125,Digital Fortress,Brown Dan,4
976,Deception Point,Brown Dan,4
960,Angels & Demons (Robert Langdon  #1),Brown Dan,5
968,The Da Vinci Code (Robert Langdon  #2),Brown Dan,4
