BookId,Title,Author,Rating
7733,Gulliver's Travels,Swift Jonathan,3
18928208,नदी के द्वीप / Nadi ke Dweep,'Ajneya' Sachhidanand Vatsyayan,5
17184,The Invisible Man,Wells H.G.,3
112803,The Story of My Experiments With Truth,Gandhi Mahatma,4
4671,The Great Gatsby,Fitzgerald F. Scott,3
5907,The Hobbit,Tolkien J.R.R.,4
13624688,The Time Keeper,Albom Mitch,3
475173,Night Train at Deoli: And Other Stories,Bond Ruskin,2
15734685,The PhD Grind,Guo Philip J.,5
68591,Brida,Coelho Paulo,4
671607,Bhagwad Gita,Veda Vyass,4
128029,A Thousand Splendid Suns,Hosseini Khaled,5
77203,The Kite Runner,Hosseini Khaled,4
6900,Tuesdays with Morrie,Albom Mitch,4
11153453,A Dilli-Mumbai Story ...when Love Won Over Terror,Jha Abhimanyu,3
1768603,The White Tiger,Adiga Aravind,4
33205203,The 3 Mistakes of My Life,Bhagat Chetan,2
69693612,2 States: The Story of My Marriage,Bhagat Chetan,3
106646,The Doomsday Conspiracy,Sheldon Sidney,3
43324,Are You Afraid of the Dark?,Sheldon Sidney,3
6411961,The Lost Symbol (Robert Langdon  #3),Brown Dan,3
968,The Da Vinci Code (Robert Langdon  #2),Brown Dan,5
2657,To Kill a Mockingbird,Lee Harper,5
